X,Y,Z,hexcode
-1.8606942,1.184426,1.3945183,#000000
-1.8111796,1.2166424,1.3420775,#00000f
-1.7684078,1.2402617,1.2809532,#00001e
-1.7258382,1.2635802,1.2166806,#00002d
-1.6819932,1.2861776,1.1506603,#00003c
-1.636975,1.3080834,1.0830307,#00004b
-1.5909336,1.3293517,1.0137222,#00005a
-1.54397,1.3499998,0.9426338,#000069
-1.4961498,1.3700135,0.8696797,#000078
-1.4475011,1.3893551,0.79477817,#000087
-1.3980341,1.4079792,0.7178616,#000096
-1.3477583,1.4258393,0.6388677,#0000a5
-1.2966696,1.442875,0.55772215,#0000b4
-1.2447782,1.4590344,0.4743701,#0000c3
-1.1920761,1.4742587,0.38874462,#0000d2
-1.1385579,1.4884918,0.30078363,#0000e1
-1.0842291,1.5016812,0.21042998,#0000f0
-1.0290877,1.5137734,0.1176287,#0000ff
-1.7929989,1.0736864,1.3004856,#000f00
-1.7509539,1.1125289,1.249072,#000f0f
-1.7065872,1.140581,1.1862777,#000f1e
-1.6649178,1.1639904,1.121395,#000f2d
-1.622753,1.1857775,1.0553186,#000f3c
-1.5790651,1.2069134,0.98740053,#000f4b
-1.5339828,1.2276396,0.9174668,#000f5a
-1.4877446,1.2479151,0.8455405,#000f69
-1.4405146,1.2676443,0.7716358,#000f78
-1.3923815,1.2867609,0.6957506,#000f87
-1.3433912,1.3051982,0.61784166,#000f96
-1.2935615,1.3229014,0.537859,#000fa5
-1.2429091,1.3398246,0.45574936,#000fb4
-1.1914239,1.3559058,0.37145135,#000fc3
-1.1391132,1.3710932,0.28490987,#000fd2
-1.0859746,1.3853313,0.19605766,#000fe1
-1.0320036,1.3985653,0.10484031,#000ff0
-0.9772032,1.4107361,0.011192232,#000fff
-1.741209,0.9581437,1.2019098,#001e00
-1.7008948,0.9894951,1.149353,#001e0f
-1.6546143,1.0266792,1.0905523,#001e1e
-1.6074401,1.0560839,1.0239099,#001e2d
-1.5623945,1.080005,0.9555344,#001e3c
-1.519306,1.1006212,0.88736755,#001e4b
-1.4754672,1.1197218,0.8181205,#001e5a
-1.4302613,1.1381786,0.7470674,#001e69
-1.3837559,1.1563476,0.673791,#001e78
-1.3360842,1.1743072,0.59805924,#001e87
-1.2873607,1.1919279,0.51987475,#001e96
-1.2376968,1.209011,0.43934202,#001ea5
-1.1871427,1.2253945,0.35653087,#001eb4
-1.1357404,1.2409705,0.27144885,#001ec3
-1.0835015,1.2556578,0.18406719,#001ed2
-1.0304347,1.2694006,0.094347574,#001ee1
-0.976536,1.2821312,0.0022300237,#001ef0
-0.9218066,1.2938037,-0.09233674,#001eff
-1.6876087,0.84240496,1.1003417,#002d00
-1.6469883,0.8635342,1.0463287,#002d0f
-1.6024753,0.89709276,0.988238,#002d1e
-1.5557011,0.936925,0.9272238,#002d2d
-1.507362,0.9663061,0.8576238,#002d3c
-1.4588325,0.991269,0.7850935,#002d4b
-1.4128718,1.0124153,0.7129014,#002d5a
-1.3682917,1.0307964,0.64085,#002d69
-1.3227695,1.0479103,0.5675824,#002d78
-1.2759771,1.0642662,0.4926091,#002d87
-1.2280358,1.0800486,0.41565385,#002d96
-1.1790282,1.0953964,0.33640546,#002da5
-1.1289701,1.1104004,0.25453192,#002db4
-1.0778661,1.125044,0.1698516,#002dc3
-1.0257697,1.1391486,0.08242078,#002dd2
-0.9727443,1.1525077,-0.0076244418,#002de1
-0.9188351,1.1649579,-0.10020715,#002df0
-0.8640741,1.1763966,-0.19529852,#002dff
-1.6313304,0.7259463,0.9968217,#003c00
-1.5888933,0.7398132,0.9419728,#003c0f
-1.5457724,0.7629912,0.8821338,#003c1e
-1.5002078,0.80385035,0.82275456,#003c2d
-1.4532785,0.8437462,0.75922245,#003c3c
-1.4043475,0.8724549,0.68681884,#003c4b
-1.354184,0.8977499,0.6109252,#003c5a
-1.3044525,0.92002875,0.5338789,#003c69
-1.2575874,0.9386343,0.4577033,#003c78
-1.2114727,0.9550224,0.38135007,#003c87
-1.1642613,0.97031546,0.30356824,#003c96
-1.1158068,0.9848036,0.22400042,#003ca5
-1.066268,0.998557,0.14249057,#003cb4
-1.0157589,1.0116001,0.058885667,#003cc3
-0.96432924,1.0239743,-0.027022297,#003cd2
-0.9119363,1.035754,-0.115543865,#003ce1
-0.85852766,1.0470055,-0.20702024,#003cf0
-0.8040622,1.0576707,-0.30160734,#003cff
-1.5723659,0.6083484,0.89146245,#004b00
-1.5275803,0.61711764,0.83566594,#004b0f
-1.4847565,0.63094956,0.7754833,#004b1e
-1.4403037,0.6648082,0.7133328,#004b2d
-1.3945793,0.70842314,0.65255874,#004b3c
-1.3473475,0.7474202,0.58615637,#004b4b
-1.2978265,0.77515525,0.5109108,#004b5a
-1.2469064,0.80022335,0.4321388,#004b69
-1.1950536,0.82307553,0.35107693,#004b78
-1.144311,0.8426122,0.2696075,#004b87
-1.0964452,0.8588317,0.18920639,#004b96
-1.0487393,0.8732634,0.108230405,#004ba5
-0.9998239,0.8866844,0.025618454,#004bb4
-0.9496736,0.8992496,-0.05890408,#004bc3
-0.89845324,0.91098773,-0.14545031,#004bd2
-0.8462885,0.9218902,-0.23411486,#004be1
-0.79325545,0.9319356,-0.32500002,#004bf0
-0.73937106,0.9411225,-0.418235,#004bff
-1.510671,0.48944795,0.78423387,#005a00
-1.4635744,0.49430627,0.7272428,#005a0f
-1.4197733,0.5008996,0.667678,#005a1e
-1.3767972,0.5269076,0.6028394,#005a2d
-1.3313879,0.5656573,0.53989035,#005a3c
-1.2856704,0.6104907,0.47727928,#005a4b
-1.2379605,0.64807874,0.4077603,#005a5a
-1.1877915,0.6746857,0.3295943,#005a69
-1.136221,0.6991871,0.24803266,#005a78
-1.0834552,0.7220311,0.16372316,#005a87
-1.0299807,0.7421953,0.077544816,#005a96
-0.9783862,0.75899243,-0.008362615,#005aa5
-0.92936426,0.77291816,-0.09327419,#005ab4
-0.8800053,0.7853484,-0.1791581,#005ac3
-0.8293578,0.7967798,-0.2668696,#005ad2
-0.7774839,0.8073034,-0.3566072,#005ae1
-0.7245379,0.8169217,-0.44848132,#005af0
-0.6706581,0.8256188,-0.542561,#005aff
-1.446224,0.36919314,0.67507994,#006900
-1.3970459,0.37086904,0.6167468,#00690f
-1.351382,0.37183544,0.55748403,#00691e
-1.3095437,0.39064485,0.49165845,#00692d
-1.2648115,0.4235871,0.42571434,#00693c
-1.219274,0.464549,0.3613738,#00694b
-1.1734779,0.509953,0.29666567,#00695a
-1.1251609,0.54579383,0.22382493,#006969
-1.0742806,0.5711882,0.14266078,#006978
-1.0220276,0.5948904,0.058272243,#006987
-0.9685808,0.61737067,-0.029070575,#006996
-0.91392887,0.6376244,-0.11893211,#0069a5
-0.8589728,0.65495235,-0.21024197,#0069b4
-0.8065975,0.66905385,-0.30066887,#0069c3
-0.756244,0.6807208,-0.39039478,#0069d2
-0.70517266,0.6910672,-0.48145306,#0069e1
-0.6527696,0.7003947,-0.574497,#0069f0
-0.59913623,0.7087509,-0.6696917,#0069ff
-1.3789885,0.24758352,0.5639599,#007800
-1.3280356,0.24660328,0.5042078,#00780f
-1.2800102,0.24299948,0.4444944,#00781e
-1.2384017,0.25561106,0.37945297,#00782d
-1.1950676,0.28279415,0.31042296,#00783c
